time,r104_room_temp,r104_thermostat_outside_temp,r104_supply_discharge_temp,r104_airflow_current,r104_damper_position,output
2021-07-28 21-44-00,74.5,67.33333333,74.35333506,327.0,48.20350774,74.30000305
2021-07-28 22-14-00,73.30000305,67.0,72.16000214,297.0,51.85964966,73.80000305
2021-07-28 22-44-00,74.59999847,66.0,74.62666728,294.8666667,49.76842143,74.40000153
2021-07-28 23-14-00,72.80000305,66.0,69.82666779,292.1333333,47.11578827,73.20000458
2021-07-29 01-29-00,73.09999847,64.0,72.14666901,322.9333333,46.14035136,72.0
2021-07-29 01-44-00,72.0,64.0,68.54000092,296.5333333,41.24210587,71.5
2021-07-29 02-14-00,71.0,64.0,64.89333547,306.9333333,35.76842168,70.70000458
2021-07-29 02-29-00,70.70000458,64.0,64.03333257,287.4,33.78947449,71.70000458
2021-07-29 04-29-00,71.90000153,64.0,67.38000132,328.8666667,62.0771932,71.09999847
2021-07-29 04-44-00,71.09999847,64.0,65.60666758,302.5333333,45.78947271,70.80000305
2021-07-29 04-59-00,70.80000305,64.0,64.10666835,286.5333333,36.58947246,70.59999847
2021-07-29 05-29-00,70.30000305,64.0,63.80666733,292.1333333,37.93684209,70.20000458
2021-07-29 05-59-00,69.90000153,64.0,63.63333384,299.0,38.61052653,70.80000305
2021-07-29 06-29-00,71.59999847,64.0,71.44000142,306.7333333,81.81052653,70.80000305
2021-07-29 06-44-00,70.80000305,64.0,67.76000214,307.2,41.95789515,70.30000305
2021-07-29 06-59-00,70.30000305,64.0,65.21333567,299.0,34.25263214,71.30000305
2021-07-29 07-29-00,72.09999847,65.2,72.44000142,301.6,50.96842168,73.90000153
2021-07-29 07-59-00,74.09999847,67.06666667,75.44000193,299.5333333,48.94736913,71.90000153
2021-07-29 08-14-00,71.90000153,68.0,70.08666789,304.2,37.1157903,71.40000153
2021-07-29 08-44-00,71.09999847,69.66666667,66.09333343,290.2666667,36.18947449,71.09999847
2021-07-29 09-14-00,70.90000153,71.86666667,65.87333476,289.1333333,37.32631505,71.0
2021-07-29 10-14-00,71.90000153,74.0,69.16000112,331.6666667,41.57894694,71.59999847
2021-07-29 10-44-00,71.40000153,75.6,66.15333506,283.0666667,36.10526276,71.30000305
2021-07-29 12-59-00,73.40000153,77.93333333,73.60666809,322.8,79.06666641,74.59999847
2021-07-29 13-29-00,73.70000458,81.8,72.85333506,325.0,78.20350876,74.09999847
2021-07-29 13-59-00,73.30000305,82.93333333,70.76000214,318.2666667,84.50526276,73.09999847
2021-07-29 14-59-00,73.59999847,79.13333333,72.40666911,314.4,85.22105357,74.20000458
2021-07-29 15-29-00,73.5,79.06666667,70.5866684,336.0,74.56140315,74.30000305
2021-07-29 15-59-00,74.09999847,78.73333333,72.79333496,332.0666667,76.72280782,73.09999847
2021-07-29 16-14-00,73.09999847,78.0,69.09333547,322.5333333,45.62105255,72.70000458
2021-07-29 16-29-00,72.70000458,79.0,66.48666891,280.6,38.10526276,72.40000153
2021-07-29 17-14-00,72.20000458,77.93333333,65.97333374,286.6666667,37.81052577,73.09999847
2021-07-29 17-29-00,73.09999847,74.26666667,65.98666789,301.0,35.15789439,71.70000458
2021-07-29 17-59-00,71.30000305,66.4,64.26000137,287.6666667,34.31578827,71.30000305
2021-07-29 18-44-00,71.90000153,64.0,69.08666789,283.2666667,45.68421173,71.59999847
2021-07-29 19-14-00,71.30000305,64.73333333,67.2800003,299.5333333,43.9157903,70.80000305
2021-07-29 20-14-00,71.70000458,62.2,69.43333486,289.3333333,87.05263138,72.30000305
2021-07-29 21-14-00,72.70000458,64.0,70.66666921,300.0666667,86.21052602,73.59999847
2021-07-29 21-44-00,72.20000458,63.46666667,69.26666717,314.4,88.2035085,71.90000153
2021-07-29 22-29-00,72.20000458,63.06666667,70.26666819,284.1333333,45.34736811,74.70000458
2021-07-29 23-14-00,73.90000153,63.0,71.86666717,318.3333333,65.24912262,73.59999847
2021-07-30 00-44-00,74.0,62.66666667,72.27333527,311.1333333,55.52982407,73.70000458
2021-07-30 00-59-00,73.70000458,62.0,72.70666707,311.8666667,49.74736811,74.09999847
2021-07-30 01-29-00,74.5,62.0,74.23333486,303.5333333,52.73684209,72.20000458
2021-07-30 01-44-00,72.20000458,62.0,69.15333506,296.7333333,35.81052755,71.30000305
2021-07-30 02-29-00,72.5,62.0,71.46666768,298.2666667,51.17894668,71.40000153
2021-07-30 02-44-00,71.40000153,62.0,67.92000224,293.8,42.96842117,70.90000153
2021-07-30 03-44-00,72.09999847,62.0,70.49333547,280.1333333,87.101754,71.90000153
2021-07-30 04-59-00,72.70000458,61.0,69.50000203,346.9333333,60.41403503,73.70000458
2021-07-30 05-29-00,73.70000458,61.0,73.29333547,314.4666667,44.47719294,74.30000305
2021-07-30 06-14-00,73.20000458,61.0,73.03333537,324.1333333,76.78596497,73.59999847
2021-07-30 06-44-00,71.80000305,60.0,67.50000102,318.3333333,39.64210485,71.09999847
2021-07-30 07-14-00,70.70000458,60.8,63.86000036,281.2666667,35.36841965,70.40000153
2021-07-30 08-59-00,72.0,67.13333333,69.22000224,329.4,73.77543869,71.59999847
2021-07-30 09-14-00,71.59999847,68.0,67.26666921,290.2,38.21052653,71.40000153
2021-07-30 09-29-00,71.40000153,68.93333333,66.27333527,288.7333333,37.41052577,71.30000305
2021-07-30 09-59-00,71.09999847,70.06666667,65.92666779,291.8,38.04210561,71.30000305
2021-07-30 10-59-00,71.59999847,73.06666667,69.00000102,302.0666667,89.64210561,75.59999847
